Template,Query,PCScore,SMILES
STB_C010_075,11150,0.6611,O=P(Oc1ccccc1)(Oc1ccccc1)C(NCc1ccccc1)c1ccccc1
STB_C010_075,2248,0.6609999999999999,O=C(CN(c1ccc2c(c1)OCCO2)S(=O)(=O)c1ccccc1)Nc1cccnc1
STB_C010_075,5262,0.6609,O=C(CSc1cccc2ccccc12)NN=Cc1ccccc1OCc1ccccc1
STB_C010_075,7320,0.6608,O=C(CSc1ccnc2ccccc12)NN=Cc1ccccc1OCc1ccccc1
STB_C010_075,15597,0.6608,O=C(NCC(c1cccnc1)S(=O)(=O)c1ccccc1)c1ccc(n2cccc2)cc1
STB_C010_075,8252,0.6606,O=c1[nH]c2ccccc2cc1CN(Cc1ccccc1)C(=S)NCCc1ccccc1
STB_C010_075,10563,0.6606,O=c1[nH]c2ccccc2cc1CN(Cc1cccnc1)C(=S)NCCc1ccccc1
STB_C010_075,16940,0.6604,O=c1oc2ccccc2cc1C(CC=NNS(=O)(=O)c1ccccc1)c1ccccc1
STB_C010_075,12430,0.6603,O=c1cc(CSc2ccccc2NS(=O)(=O)c2ccccc2)nc2sccn12
STB_C010_075,13347,0.6603,O=C(Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1)c1ccc(c2ccccc2)cc1
STB_C010_075,948,0.6602,O=C(Nc1ccc(Sc2ccc(NC(=O)c3ccccc3)cc2)cc1)c1ccccc1
STB_C010_075,12321,0.6601,O=c1[nH]c2ccccc2sc1=Cc1ccc(C(=O)NCCCNc2ccccc2)cc1
STB_C010_075,12319,0.6601,O=c1[nH]c2ccccc2sc1=Cc1ccc(C(=O)NCCNCc2ccccc2)cc1
STB_C010_075,235,0.6601,O=C(Nc1ccc2c(c1)OCCCO2)c1ccccc1NS(=O)(=O)c1ccccc1
STB_C010_075,13351,0.66,O=C(Nc1ccc(S(=O)(=O)Nc2ccncn2)cc1)c1ccc(c2ccccc2)cc1
STB_C010_075,13348,0.66,O=C(Nc1ccc(S(=O)(=O)Nc2cnccn2)cc1)c1ccc(c2ccccc2)cc1
STB_C010_075,12535,0.6599,S=C(NCCCNc1ccnc2ccccc12)Nc1nccc(Nc2ccccc2)n1
STB_C010_075,11540,0.6599,O=C(Nc1ccc(S(=O)(=O)Nc2cccnc2)cc1)c1ccc(c2ccccc2)cc1
STB_C010_075,14220,0.6598,S=C(NCCCNc1ccnc2ccccc12)Nc1ccc(Oc2ccccc2)nn1
STB_C010_075,387,0.6597,O=C(OCc1ccccc1)c1ccc(OCc2ccccc2)c(OCc2ccccc2)c1
STB_C010_075,2330,0.6596,O=S(=O)(c1ccccc1)c1nc(c2ccccc2)oc1S(=O)(=O)c1ccccc1
STB_C010_075,4973,0.6593,O=C1COc2ccc(S(=O)(=O)Nc3ccccc3SCc3ccccc3)cc2N1
STB_C010_075,4151,0.6593,O=C(COc1ccccc1)Nc1cccc2cccc(NC(=O)COc3ccccc3)c12
STB_C010_075,141,0.6592,O=C(Oc1ccc(OCc2ccncc2)cc1)c1ccc(S(=O)(=O)NC2CC2)cc1
STB_C010_075,11366,0.659,O=C(c1ccccc1)c1ccccc1NS(=O)(=O)c1ccc(Oc2ccccc2)cc1
STB_C010_075,9311,0.6588,O=C(C=CNc1ccc(S(=O)(=O)Nc2ccccc2)cc1)c1cccc2ccccc12
STB_C010_075,13370,0.6587,O=C(C=CNc1ccc(S(=O)(=O)Nc2ccncn2)cc1)c1cccc2ccccc12
STB_C010_075,12971,0.6587,O=S(CCCSc1cc(c2ccccc2)cc(c2ccccc2)n1)c1ccccc1
STB_C010_075,13368,0.6586,O=C(C=CNc1ccc(S(=O)(=O)Nc2ncccn2)cc1)c1cccc2ccccc12
STB_C010_075,8411,0.6585,O=C(Nc1ccccc1Sc1ccccc1)c1cccc(CSc2ccccc2)c1
STB_C010_075,3329,0.6584,O=C(NCCCNc1nc(NCCc2ccccc2)c2ccccc2n1)c1ccccc1
STB_C010_075,8661,0.6583,O=C(Nc1cn(Cc2ccccc2)c(=O)[nH]c1=O)c1ccc(OCc2cccnc2)cc1
STB_C010_075,5161,0.6583,O=C(NCCCNc1nc(NCCc2ccccc2)c2ccccc2n1)c1ccncc1
STB_C010_075,7057,0.6582,O=C(NCCCNc1nc(NCCc2ccccc2)c2ccccc2n1)c1cnccn1
STB_C010_075,2492,0.6581,O=C(CCc1cnc(c2ccncc2)[nH]c1=O)Nc1ccccc1NCc1ccccc1
STB_C010_075,6371,0.6579999999999999,O=C(CCn1nnc2ccccc2c1=O)NC(C(=O)Nc1ccccc1)c1ccccc1
STB_C010_075,7967,0.6579999999999999,O=S(=O)(Nc1cccc(C(Cc2ccccc2)Cc2ccccc2)c1)c1ccccc1
STB_C010_075,954,0.6579999999999999,O=S(=O)(c1cccc(N=Cc2ccccc2)c1)c1cccc(N=Cc2ccccc2)c1
STB_C010_075,6105,0.6579,S=C(Nc1ccccc1Sc1ccccc1)NC(c1ccccc1)c1ccccc1
STB_C010_075,4810,0.6579,O=S(=O)(c1cccc(N=Cc2cccnc2)c1)c1cccc(N=Cc2cccnc2)c1
STB_C010_075,8489,0.6578,S=C(Nc1cccnc1Sc1ccccc1)NC(c1ccccc1)c1ccccc1
STB_C010_075,17102,0.6573,O=C(NCCNS(=O)(=O)c1ccccc1)c1cc(c2cccnc2)nc2ccccc12
STB_C010_075,17101,0.6573,O=C(NCCNS(=O)(=O)c1ccccc1)c1cc(c2ccncc2)nc2ccccc12
STB_C010_075,5071,0.6569,O=C(CSc1ncc2c(n1)c1ccccc1NS2(=O)=O)NCCc1ccccc1
STB_C010_075,6362,0.6568,O=C(NCCn1nc(c2ccccc2)ccc1=O)c1ccc(=O)n(Cc2ccccc2)n1
STB_C010_075,468,0.6567,O=C(COc1cccc(CNc2ccc(Oc3ccccc3)cc2)c1)Nc1ccccc1
STB_C010_075,4251,0.6567,O=C(Nc1ccccc1)c1ccc(CN(Cc2ccccc2)c2c[nH]c(=O)[nH]c2=O)cc1
STB_C010_075,8488,0.6566,S=C(Nc1ccc(Nc2ccccc2)cc1)Nc1ccccc1Sc1ccccc1
STB_C010_075,10829,0.6566,S=C(Nc1ccc(Oc2ccccc2)cc1)Nc1ccccc1Sc1ccccc1
STB_C010_075,8253,0.6564,O=C(CSc1nc2ccccc2nc1Cc1ccccc1)NCCCc1ccccc1
STB_C010_075,2740,0.6564,O=c1ccc(c2cccc(S(=O)(=O)N3CCOCC3)c2)nn1CCc1ccccc1
STB_C010_075,14921,0.6564,c1ccc(CSc2ccc(Sc3ccc(SCc4ccccc4)cc3)cc2)cc1
STB_C010_075,15176,0.6562,O=S(=O)(c1ccccc1)N(Cc1ccc2c(c1)OCO2)S(=O)(=O)c1ccccc1
STB_C010_075,7914,0.6562,O=c1[nH]c(=S)[nH]cc1C(c1cccc(CN2CCCC2)c1)c1c[nH]c(=S)[nH]c1=O
STB_C010_075,12360,0.6562,O=S(=O)(Cc1ccccc1)Cc1cccc(Nc2ccnc(Cc3ccccc3)n2)c1
STB_C010_075,14120,0.6561,O=C(CSc1nc(COc2ccccc2)n[nH]1)NC(c1ccccc1)c1ccccc1
STB_C010_075,14368,0.6561,O=C(CSc1nc(SCC(=O)c2ccccc2)c2ccccc2n1)c1ccccc1
STB_C010_075,9577,0.6561,O=C(CSc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1)Nc1ccccc1
STB_C010_075,449,0.6561,O=C(COc1ccc(NCc2ccccc2)cc1)Nc1ccc(Oc2ccccc2)cc1
STB_C010_075,10671,0.6559999999999999,O=C(CSc1cccc2c(SCC(=O)c3ccccc3)cccc12)c1ccccc1
STB_C010_075,2323,0.6559,O=C(COc1ccc(OCc2ccccc2)cc1)Nc1ccc(Oc2ccccc2)cc1
STB_C010_075,784,0.6557,O=S(=O)(Nc1ccc(Nc2cc(Nc3ccccn3)ncn2)cc1)c1cccs1
STB_C010_075,8784,0.6557,O=C(Oc1ccc(Sc2ccc(OC(=O)c3cccnc3)cc2)cc1)c1cccnc1
STB_C010_075,2570,0.6557,O=S(=O)(Nc1ccc(Nc2cc(Nc3ccccn3)ncn2)cc1)c1cncs1
STB_C010_075,17187,0.6556,O=S(=O)(NNc1cc(NN(c2ccccc2)c2ccccc2)ncn1)c1ccccc1
STB_C010_075,4143,0.6556,O=C(OCc1ccccc1)c1cn(Cc2ccccc2)c(=O)n(Cc2ccccc2)c1=O
STB_C010_075,888,0.6554,O=S(=O)(NCc1ccccc1)C1CONC1c1cccc(OCc2ccccc2)c1
STB_C010_075,10905,0.6554,S=C(Nc1ccccc1)Nc1cccc2c(NC(=S)Nc3ccccc3)cccc12
STB_C010_075,5445,0.6554,O=C(NCCc1ccccn1)c1ccc(CSc2nccc(c3ccccc3)n2)cc1
STB_C010_075,4159,0.6551,O=C(NCC(=O)N(Cc1ccccc1)Cc1coc2ccccc2c1=O)c1ccccc1
STB_C010_075,9303,0.6549,O=C(Nc1cccc(c2ccccc2)c1)c1cccc(NS(=O)(=O)c2ccccc2)c1
STB_C010_075,2331,0.6547,O=C(Cc1ccccc1)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1ccccc1
STB_C010_075,6252,0.6547,O=C(Oc1ccccc1)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1ccccc1
STB_C010_075,6103,0.6547,C(=CCSc1cccc(c2ccccc2)n1)CSc1cccc(c2ccccc2)n1
STB_C010_075,7465,0.6546,O=C(N=C(Nc1ncccn1)N(Cc1ccccc1)Cc1ccccc1)c1cccs1
STB_C010_075,13273,0.6546,O=C(NN=Cc1ccccc1OS(=O)(=O)c1ccccc1)c1ccc2ccccc2c1
STB_C010_075,11592,0.6539,O=C(c1cccc(S(=O)(=O)Nc2ccccc2)c1)n1ccccc1=Nc1ccccc1
STB_C010_075,9531,0.6539,O=S(=O)(NN=C(CC=Cc1ccccc1)c1cnc2ccccc2n1)c1ccccc1
STB_C010_075,1954,0.6539,C(=Nc1ccccc1SSc1ccccc1N=Cc1ccccc1)c1ccccc1
STB_C010_075,5447,0.6537,O=C(CCCSc1nnc(c2ccccc2)c(c2ccccc2)n1)Nc1ccccc1
STB_C010_075,766,0.6536,O=C(NCc1ccccc1)Nc1ncnc(N(Cc2ccccc2)Cc2ccccc2)n1
STB_C010_075,13910,0.6536,O=C(Nc1ccccc1)C(Cc1ccccc1)NS(=O)(=O)c1ccc2ccccc2c1
STB_C010_075,18241,0.6536,c1cncc(CSc2ccc(Sc3ccc(SCc4cccnc4)cc3)cc2)c1
STB_C010_075,18008,0.6535,S=C(NCc1nc(c2ccccc2)no1)Nc1ccc(CSc2ccccc2)cc1
